Timestamp,t_ns,source,t_rx_ns,t_unity_ns,offset_ns,seq,label,detail
2026-09-24 20:45:12.720663700,1790282712720663700,rx,1790282712720663700,1790282712491120800,,1,session_start,anchor_unix_ns=1790282712482540400;stopwatch_hz=10000000;unity=6000.3.24f1;udp=10.43.42.208:5005
2026-09-24 20:45:13.171999850,1790282713171999850,unity+offset,1790282713210383000,1790282712962592600,209407250,2,sequence_start,reps=5;gestures=4;initial_rest_s=5;countdown_s=3;hold_s=3;rest_s=5
2026-09-24 20:45:13.172872450,1790282713172872450,unity+offset,1790282713210729200,1790282712963465200,209407250,3,rest_start,reason=initial;trial=-1;rep=-1;gesture_idx=-1;gesture=none
2026-09-24 20:45:19.165586250,1790282719165586250,unity+offset,1790282719270191900,1790282718955862700,209723550,4,gesture_show,trial=0;rep=0;gesture_idx=0;gesture=Sonrisa
2026-09-24 20:45:19.166119050,1790282719166119050,unity+offset,1790282719270912300,1790282718956395500,209723550,5,countdown_3,trial=0;rep=0;gesture_idx=0;gesture=Sonrisa
2026-09-24 20:45:20.178525550,1790282720178525550,unity+offset,1790282720181049400,1790282719968802000,209723550,6,countdown_2,trial=0;rep=0;gesture_idx=0;gesture=Sonrisa
2026-09-24 20:45:21.178605650,1790282721178605650,unity+offset,1790282721220664400,1790282720968882100,209723550,7,countdown_1,trial=0;rep=0;gesture_idx=0;gesture=Sonrisa
2026-09-24 20:45:22.178863150,1790282722178863150,unity+offset,1790282722181280900,1790282721969139600,209723550,8,hold_start,trial=0;rep=0;gesture_idx=0;gesture=Sonrisa
2026-09-24 20:45:25.192583650,1790282725192583650,unity+offset,1790282725568371400,1790282724982860100,209723550,9,rest_start,reason=after_gesture;trial=0;rep=0;gesture_idx=0;gesture=Sonrisa
2026-09-24 20:45:30.193182750,1790282730193182750,unity+offset,1790282730231956800,1790282729983459200,209723550,10,gesture_show,trial=1;rep=0;gesture_idx=1;gesture=Disgusto
2026-09-24 20:45:30.193580650,1790282730193580650,unity+offset,1790282730232360800,1790282729983857100,209723550,11,countdown_3,trial=1;rep=0;gesture_idx=1;gesture=Disgusto
