Timestamp,t_ns,source,t_rx_ns,t_unity_ns,offset_ns,seq,label,detail
2026-09-24 19:53:50.629015500,1790279630629015500,unity+offset,1790279630631806000,1790279630494743000,134272500,31,countdown_1,trial=4;rep=1;gesture_idx=0;gesture=Sonrisa
2026-09-24 19:53:51.629232500,1790279631629232500,unity+offset,1790279631632410900,1790279631494960000,134272500,32,hold_start,trial=4;rep=1;gesture_idx=0;gesture=Sonrisa
2026-09-24 19:53:54.642142900,1790279634642142900,unity+offset,1790279634645693600,1790279634507870400,134272500,33,rest_start,reason=after_gesture;trial=4;rep=1;gesture_idx=0;gesture=Sonrisa
2026-09-24 19:53:59.642435100,1790279639642435100,unity+offset,1790279639645605900,1790279639508162600,134272500,34,gesture_show,trial=5;rep=1;gesture_idx=1;gesture=Disgusto
2026-09-24 19:53:59.642776500,1790279639642776500,unity+offset,1790279639647857800,1790279639508504000,134272500,35,countdown_3,trial=5;rep=1;gesture_idx=1;gesture=Disgusto
2026-09-24 19:54:00.642458200,1790279640642458200,unity+offset,1790279640645277300,1790279640508185700,134272500,36,countdown_2,trial=5;rep=1;gesture_idx=1;gesture=Disgusto
2026-09-24 19:54:01.643067700,1790279641643067700,unity+offset,1790279641646225800,1790279641508795200,134272500,37,countdown_1,trial=5;rep=1;gesture_idx=1;gesture=Disgusto
2026-09-24 19:54:02.656086300,1790279642656086300,unity+offset,1790279642659378200,1790279642521813800,134272500,38,hold_start,trial=5;rep=1;gesture_idx=1;gesture=Disgusto
2026-09-24 19:54:05.656806500,1790279645656806500,unity+offset,1790279645659944900,1790279645522534000,134272500,39,rest_start,reason=after_gesture;trial=5;rep=1;gesture_idx=1;gesture=Disgusto
2026-09-24 19:54:10.670014300,1790279650670014300,unity+offset,1790279650673043600,1790279650535741800,134272500,40,gesture_show,trial=6;rep=1;gesture_idx=2;gesture=Sorprendido
2026-09-24 19:54:10.670358400,1790279650670358400,unity+offset,1790279650676352500,1790279650536085900,134272500,41,countdown_3,trial=6;rep=1;gesture_idx=2;gesture=Sorprendido
2026-09-24 19:54:11.670421200,1790279651670421200,unity+offset,1790279651674559100,1790279651536148700,134272500,42,countdown_2,trial=6;rep=1;gesture_idx=2;gesture=Sorprendido
2026-09-24 19:54:12.683818500,1790279652683818500,unity+offset,1790279652686980200,1790279652549546000,134272500,43,countdown_1,trial=6;rep=1;gesture_idx=2;gesture=Sorprendido
2026-09-24 19:54:13.697243,1790279653697243000,unity+offset,1790279653702504800,1790279653562970500,134272500,44,hold_start,trial=6;rep=1;gesture_idx=2;gesture=Sorprendido
2026-09-24 19:54:16.711072700,1790279656711072700,unity+offset,1790279656718538100,1790279656576800200,134272500,45,rest_start,reason=after_gesture;trial=6;rep=1;gesture_idx=2;gesture=Sorprendido
