Timestamp,t_ns,source,t_rx_ns,t_unity_ns,offset_ns,seq,label,detail
2026-09-21 21:49:40.437186600,1790027380437186600,unity+offset,1790027380441601100,1790027379794199200,642987400,31,countdown_1,trial=4;rep=1;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:49:41.437406400,1790027381437406400,unity+offset,1790027381440753000,1790027380794419000,642987400,32,hold_start,trial=4;rep=1;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:49:44.438202200,1790027384438202200,unity+offset,1790027384441871700,1790027383795214800,642987400,33,rest_start,reason=after_gesture;trial=4;rep=1;gesture_idx=0;gesture=Sonrisa
2026-09-21 21:49:49.438479,1790027389438479000,unity+offset,1790027389442677900,1790027388795491600,642987400,34,gesture_show,trial=5;rep=1;gesture_idx=1;gesture=Disgusto
2026-09-21 21:49:49.438545200,1790027389438545200,unity+offset,1790027389443330600,1790027388795557800,642987400,35,countdown_3,trial=5;rep=1;gesture_idx=1;gesture=Disgusto
2026-09-21 21:49:50.439354100,1790027390439354100,unity+offset,1790027390443899900,1790027389796366700,642987400,36,countdown_2,trial=5;rep=1;gesture_idx=1;gesture=Disgusto
2026-09-21 21:49:51.442158,1790027391442158000,unity+offset,1790027391444339400,1790027390798975200,643182800,37,countdown_1,trial=5;rep=1;gesture_idx=1;gesture=Disgusto
2026-09-21 21:49:52.444375600,1790027392444375600,unity+offset,1790027392447950000,1790027391801192800,643182800,38,hold_start,trial=5;rep=1;gesture_idx=1;gesture=Disgusto
2026-09-21 21:49:55.446868100,1790027395446868100,unity+offset,1790027395450561300,1790027394803685300,643182800,39,rest_start,reason=after_gesture;trial=5;rep=1;gesture_idx=1;gesture=Disgusto
2026-09-21 21:50:00.447170,1790027400447170000,unity+offset,1790027400450945200,1790027399803987200,643182800,40,gesture_show,trial=6;rep=1;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:50:00.447280500,1790027400447280500,unity+offset,1790027400451569900,1790027399804097700,643182800,41,countdown_3,trial=6;rep=1;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:50:01.448207700,1790027401448207700,unity+offset,1790027401451605300,1790027400805024900,643182800,42,countdown_2,trial=6;rep=1;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:50:02.450337300,1790027402450337300,unity+offset,1790027402454991100,1790027401807154500,643182800,43,countdown_1,trial=6;rep=1;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:50:03.452755400,1790027403452755400,unity+offset,1790027403456512500,1790027402809572600,643182800,44,hold_start,trial=6;rep=1;gesture_idx=2;gesture=Sorprendido
2026-09-21 21:50:06.453158100,1790027406453158100,unity+offset,1790027406457472300,1790027405809975300,643182800,45,rest_start,reason=after_gesture;trial=6;rep=1;gesture_idx=2;gesture=Sorprendido
